slug,yemek,dosya,lisans,eser_sahibi,kaynak_dosya_adi,kaynak_sayfa
kadinbudu-kofte,"Kadınbudu Köfte (1 Adet, 70g)",kadinbudu-kofte.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Kadınbudu köfte","https://tr.wikipedia.org/wiki/Kad%C4%B1nbudu%20k%C3%B6fte"
sulu-kofte,"Sulu Köfte (1 Kase, 300g)",sulu-kofte.jpg,"CC BY-SA 4.0","E4024","Sulu köfte (with bulgur).jpg","https://commons.wikimedia.org/wiki/File:Sulu_k%C3%B6fte_(with_bulgur).jpg"
eksili-kofte,"Ekşili Köfte (1 Kase, 300g)",eksili-kofte.jpg,"CC BY-SA 4.0","E4024","Enginarlı ekşili köfte.jpg","https://commons.wikimedia.org/wiki/File:Enginarl%C4%B1_ek%C5%9Fili_k%C3%B6fte.jpg"
tekirdag-kofte,"Tekirdağ Köfte (1 Porsiyon, 150g)",tekirdag-kofte.jpg,"CC BY-SA 4.0","CeeGee","TekirdağKofte.JPG","https://commons.wikimedia.org/wiki/File:Tekirda%C4%9FKofte.JPG"
cop-sis,"Çöp Şiş (1 Porsiyon, 150g)",cop-sis.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Çöp şiş kebabı","https://tr.wikipedia.org/wiki/%C3%87%C3%B6p%20%C5%9Fi%C5%9F%20kebab%C4%B1"
beyti-kebap,"Beyti Kebap (1 Porsiyon, 250g)",beyti-kebap.jpg,"CC BY-SA 4.0","E4024","Beyti from döner.jpg","https://commons.wikimedia.org/wiki/File:Beyti_from_d%C3%B6ner.jpg"
urfa-kebap,"Urfa Kebap (1 Porsiyon, Sadece Et, 150g)",urfa-kebap.jpg,"CC BY-SA 4.0","E4024","Patlıcan kebap at an Urfa restaurant in Ankara.jpg","https://commons.wikimedia.org/wiki/File:Patl%C4%B1can_kebap_at_an_Urfa_restaurant_in_Ankara.jpg"
patlican-kebabi,"Patlıcan Kebabı (1 Porsiyon, 300g)",patlican-kebabi.jpg,"CC BY-SA 4.0","E4024","Patlıcan kebabı (sort of).jpg","https://commons.wikimedia.org/wiki/File:Patl%C4%B1can_kebab%C4%B1_(sort_of).jpg"
testi-kebabi,"Testi Kebabı (1 Porsiyon, 350g)",testi-kebabi.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Testi kebabı","https://tr.wikipedia.org/wiki/Testi%20kebab%C4%B1"
kagit-kebabi,"Kağıt Kebabı (1 Porsiyon, 300g)",kagit-kebabi.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Kâğıt kebabı","https://tr.wikipedia.org/wiki/K%C3%A2%C4%9F%C4%B1t%20kebab%C4%B1"
kuzu-guvec,"Kuzu Güveç (1 Porsiyon, 300g)",kuzu-guvec.jpg,"CC BY-SA 3.0","Dr. Bernd Gross","Sebzeli Kuzu güvec - Lammfleischauflauf.JPG","https://commons.wikimedia.org/wiki/File:Sebzeli_Kuzu_g%C3%BCvec_-_Lammfleischauflauf.JPG"
etli-bezelye,"Etli Bezelye (1 Porsiyon, 250g)",etli-bezelye.jpg,"CC BY-SA 4.0","E4024","Etli bezelye.jpg","https://commons.wikimedia.org/wiki/File:Etli_bezelye.jpg"
sac-kavurma,"Sac Kavurma (1 Porsiyon, 200g)",sac-kavurma.jpg,"CC BY-SA 4.0","E4024","Çoban kavurma in a sahan.jpg","https://commons.wikimedia.org/wiki/File:%C3%87oban_kavurma_in_a_sahan.jpg"
kuzu-tandir,"Kuzu Tandır (1 Porsiyon, 200g)",kuzu-tandir.jpg,"CC BY-SA 4.0","E4024","Kuzu tandır (2).jpg","https://commons.wikimedia.org/wiki/File:Kuzu_tand%C4%B1r_(2).jpg"
kuzu-incik,"Kuzu İncik (1 Porsiyon, 300g)",kuzu-incik.jpg,"CC BY-SA 4.0","E4024","Kuzu incik (haslama).jpg","https://commons.wikimedia.org/wiki/File:Kuzu_incik_(haslama).jpg"
tavuk-sis,"Tavuk Şiş (1 Porsiyon, 150g)",tavuk-sis.jpg,"CC BY-SA 4.0","E4024","Şiş tavuk (or tavuk şiş).jpg","https://commons.wikimedia.org/wiki/File:%C5%9Ei%C5%9F_tavuk_(or_tavuk_%C5%9Fi%C5%9F).jpg"
kayseri-mantisi,"Kayseri Mantısı (1 Porsiyon, 250g)",kayseri-mantisi.jpg,"CC BY 2.0","William Neuheisel from DC, US","Kayseri Mantısı (6344302909).jpg","https://commons.wikimedia.org/wiki/File:Kayseri_Mant%C4%B1s%C4%B1_(6344302909).jpg"
kuru-kofte,"Kuru Köfte (1 Porsiyon, 150g)",kuru-kofte.jpg,"CC BY-SA 4.0","E4024","Kuru köfte ve pilav.jpg","https://commons.wikimedia.org/wiki/File:Kuru_k%C3%B6fte_ve_pilav.jpg"
dana-rosto,"Dana Rosto (1 Porsiyon, 150g)",dana-rosto.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Rosto","https://tr.wikipedia.org/wiki/Rosto"
cag-kebabi,"Cağ Kebabı (1 Porsiyon, 150g)",cag-kebabi.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Cağ kebabı","https://tr.wikipedia.org/wiki/Ca%C4%9F%20kebab%C4%B1"
keskek,"Keşkek (1 Porsiyon, 300g)",keskek.jpg,"CC BY-SA 4.0","Jim4ewa","Keshkek Ludogorie.jpg","https://commons.wikimedia.org/wiki/File:Keshkek_Ludogorie.jpg"
sis-kofte,"Şiş Köfte (1 Porsiyon, 150g)",sis-kofte.jpg,"CC BY-SA 4.0","E4024","Şiş köfte platter.jpg","https://commons.wikimedia.org/wiki/File:%C5%9Ei%C5%9F_k%C3%B6fte_platter.jpg"
tavuk-pirzola,"Tavuk Pirzola (1 Porsiyon, 150g)",tavuk-pirzola.jpg,"CC BY-SA 4.0","E4024","Tavuk (pirzola).jpg","https://commons.wikimedia.org/wiki/File:Tavuk_(pirzola).jpg"
inegol-kofte,"İnegöl Köfte (1 Porsiyon, 150g)",inegol-kofte.jpg,"CC BY-SA 4.0","E4024","Kaşarlı İnegöl köfte.jpg","https://commons.wikimedia.org/wiki/File:Ka%C5%9Farl%C4%B1_%C4%B0neg%C3%B6l_k%C3%B6fte.jpg"
fava,"Fava (1 Porsiyon, 100g)",fava.jpg,"CC BY-SA 4.0","E4024","Fava amb carxofa.jpg","https://commons.wikimedia.org/wiki/File:Fava_amb_carxofa.jpg"
atom-meze,"Atom (Meze, 100g)",atom-meze.jpg,"CC BY-SA 4.0","Satirdan kahraman","Atom mezesi.jpg","https://commons.wikimedia.org/wiki/File:Atom_mezesi.jpg"
semizotu-salatasi,"Semizotu Salatası (Yoğurtlu, 150g)",semizotu-salatasi.jpg,"CC BY-SA 4.0","E4024","Semizotu salad.jpg","https://commons.wikimedia.org/wiki/File:Semizotu_salad.jpg"
piyaz,"Piyaz (1 Porsiyon, 200g)",piyaz.jpg,"Wikipedia lead (Commons’ta lisans doğrula)","","wiki:tr:Piyaz","https://tr.wikipedia.org/wiki/Piyaz"
gavurdagi-salatasi,"Gavurdağı Salatası (1 Porsiyon, 200g)",gavurdagi-salatasi.jpg,"CC BY-SA 4.0","E4024","Gavurdağı salad with lor cheese.jpg","https://commons.wikimedia.org/wiki/File:Gavurda%C4%9F%C4%B1_salad_with_lor_cheese.jpg"
rus-salatasi,"Rus Salatası (1 Porsiyon, 150g)",rus-salatasi.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Rus salatası","https://tr.wikipedia.org/wiki/Rus%20salatas%C4%B1"
amerikan-salatasi,"Amerikan Salatası (1 Porsiyon, 150g)",amerikan-salatasi.jpg,"CC BY 3.0","Benreis","Rus salati Lido Restaurant Adalar.JPG","https://commons.wikimedia.org/wiki/File:Rus_salati_Lido_Restaurant_Adalar.JPG"
muhammara,"Muhammara (Meze, 100g)",muhammara.jpg,"CC BY 2.0","Krista","Tanoreen muhammara.jpg","https://commons.wikimedia.org/wiki/File:Tanoreen_muhammara.jpg"
girit-ezmesi,"Girit Ezmesi (Meze, 100g)",girit-ezmesi.jpg,"Wikipedia lead (Commons’ta lisans doğrula)","","wiki:tr:Girit ezmesi","https://tr.wikipedia.org/wiki/Girit%20ezmesi"
patlican-dolmasi,"Patlıcan Dolması (Etli, 1 Adet, 120g)",patlican-dolmasi.jpg,"Wikipedia lead (Commons’ta lisans doğrula)","","wiki:tr:Patlıcan dolması","https://tr.wikipedia.org/wiki/Patl%C4%B1can%20dolmas%C4%B1"
kabak-dolmasi,"Kabak Dolması (Etli, 1 Adet, 120g)",kabak-dolmasi.jpg,"CC BY-SA 4.0","E4024","Kabak dolma.jpg","https://commons.wikimedia.org/wiki/File:Kabak_dolma.jpg"
lahana-sarmasi,"Lahana Sarması (Etli, 1 Porsiyon, 160g)",lahana-sarmasi.png,"Wikipedia lead (Commons’ta lisans doğrula)","","wiki:tr:Lahana sarması","https://tr.wikipedia.org/wiki/Lahana%20sarmas%C4%B1"
ispanak-yemegi,"Ispanak Yemeği (Etli, 1 Porsiyon, 250g)",ispanak-yemegi.jpg,"CC BY-SA 4.0","E4024","Ispanak yemeği.jpg","https://commons.wikimedia.org/wiki/File:Ispanak_yeme%C4%9Fi.jpg"
gozleme-kiymali,"Gözleme (Kıymalı, 1 Adet, 180g)",gozleme-kiymali.jpg,"CC BY 2.0","Banu from TÜRKİYE","Food from Turkey (Gözleme).jpg","https://commons.wikimedia.org/wiki/File:Food_from_Turkey_(G%C3%B6zleme).jpg"
gozleme-patatesli,"Gözleme (Patatesli, 1 Adet, 180g)",gozleme-patatesli.jpg,"CC BY 2.0","Banu from TÜRKİYE","Food from Turkey (Gözleme).jpg","https://commons.wikimedia.org/wiki/File:Food_from_Turkey_(G%C3%B6zleme).jpg"
midye-tava,"Midye Tava (1 Porsiyon, 150g)",midye-tava.jpg,"CC BY-SA 4.0","E4024","Midye tava (big plate).jpg","https://commons.wikimedia.org/wiki/File:Midye_tava_(big_plate).jpg"
kalamar-tava,"Kalamar Tava (1 Porsiyon, 150g)",kalamar-tava.jpg,"CC BY-SA 4.0","E4024","Kalamar tava, Turkish style fried calamari.jpg","https://commons.wikimedia.org/wiki/File:Kalamar_tava,_Turkish_style_fried_calamari.jpg"
ciger-tava,"Ciğer Tava (1 Porsiyon, 150g)",ciger-tava.jpg,"CC BY-SA 3.0","User:Gugiturko","Edirne Tava Cigeri Nami Ciger Bakirkoy'de cekildi-Ekmek arasi nefis edirne yaprak cigeri- 2014-04-16 00-30.jpg","https://commons.wikimedia.org/wiki/File:Edirne_Tava_Cigeri_Nami_Ciger_Bakirkoy%27de_cekildi-Ekmek_arasi_nefis_edirne_yaprak_cigeri-_2014-04-16_00-30.jpg"
arnavut-cigeri,"Arnavut Ciğeri (1 Porsiyon, 150g)",arnavut-cigeri.jpg,"CC BY-SA 4.0","E4024","Arnavut ciğeri.jpg","https://commons.wikimedia.org/wiki/File:Arnavut_ci%C4%9Feri.jpg"
tavuk-doner-porsiyon,"Tavuk Döner (Porsiyon, Sadece Et, 120g)",tavuk-doner-porsiyon.jpg,"CC BY-SA 4.0","К.Артём.1","Chicken döner (mini).jpg","https://commons.wikimedia.org/wiki/File:Chicken_d%C3%B6ner_(mini).jpg"
et-doner-porsiyon,"Et Döner (Porsiyon, Sadece Et, 120g)",et-doner-porsiyon.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Döner","https://tr.wikipedia.org/wiki/D%C3%B6ner"
pide-kasarli,"Pide (Kaşarlı, 1 Porsiyon, 250g)",pide-kasarli.jpg,"CC BY-SA 4.0","E4024","Kaşarlı pide.jpg","https://commons.wikimedia.org/wiki/File:Ka%C5%9Farl%C4%B1_pide.jpg"
pide-kusbasili,"Pide (Kuşbaşılı, 1 Porsiyon, 300g)",pide-kusbasili.jpg,"CC BY-SA 4.0","E4024","Pide with cheese and veal.jpg","https://commons.wikimedia.org/wiki/File:Pide_with_cheese_and_veal.jpg"
pide-sucuklu,"Pide (Sucuklu, 1 Porsiyon, 250g)",pide-sucuklu.jpg,"CC BY 2.0","Ryan Snyder","Hocapasa Pidecisi, Sucuklu Pide (14285595564).jpg","https://commons.wikimedia.org/wiki/File:Hocapasa_Pidecisi,_Sucuklu_Pide_(14285595564).jpg"
tavuk-durum,"Tavuk Dürüm (1 Adet, 250g)",tavuk-durum.jpg,"Wikipedia lead (Commons’ta lisans doğrula)","","wiki:tr:Tavuk","https://tr.wikipedia.org/wiki/Tavuk"
et-durum,"Et Dürüm (1 Adet, 250g)",et-durum.jpg,"CC BY-SA 3.0","LenZ","Dürüm Döner.jpg","https://commons.wikimedia.org/wiki/File:D%C3%BCr%C3%BCm_D%C3%B6ner.jpg"
kumpir,"Kumpir (1 Adet, 350g)",kumpir.jpg,"CC BY 3.0","Zorro2212","Kumpir Turkey potato fast food.jpg","https://commons.wikimedia.org/wiki/File:Kumpir_Turkey_potato_fast_food.jpg"
balik-ekmek,"Balık Ekmek (1 Adet, 250g)",balik-ekmek.jpg,"CC BY-SA 4.0","E4024","Balık-ekmek in Ankara.jpg","https://commons.wikimedia.org/wiki/File:Bal%C4%B1k-ekmek_in_Ankara.jpg"
perde-pilavi,"Perde Pilavı (1 Porsiyon, 250g)",perde-pilavi.jpg,"CC BY-SA 4.0","E4024","Perde pilav.jpg","https://commons.wikimedia.org/wiki/File:Perde_pilav.jpg"
ic-pilav,"İç Pilav (1 Porsiyon, 200g)",ic-pilav.jpg,"CC BY-SA 4.0","E4024","İç pilav.jpg","https://commons.wikimedia.org/wiki/File:%C4%B0%C3%A7_pilav.jpg"
